cod_depto,nombre_depto,cod_mpio,nombre_mpio,mesas_informadas_pct,votos_abelardo,votos_cepeda,votos_blanco,votos_nulos,tarjetones_no_marcados
11,CAUCA,11070,ROSAS,100%,2045,3860,70,125,21
88,CONSULADOS,88700,RUSIA,100%,32,147,0,1,0
03,ATLANTICO,03043,SABANAGRANDE,100%,5535,10689,141,51,21
27,SANTANDER,27174,SABANA DE TORRES,100%,9579,6597,233,233,22
01,ANTIOQUIA,01217,SABANALARGA,100%,3410,788,65,24,8
03,ATLANTICO,03046,SABANALARGA,100%,15432,32762,351,231,46
46,CASANARE,46800,SABANALARGA,100%,1569,472,24,21,2
01,ANTIOQUIA,01218,SABANETA,100%,52751,17612,1636,407,31
21,MAGDALENA,21060,SABANAS DE SAN ANGEL,100%,4057,2648,58,29,12
07,BOYACA,07226,SABOYA,100%,5118,2149,120,89,7
07,BOYACA,07232,SACHICA,100%,2313,1021,62,29,1
46,CASANARE,46815,SACAMA,100%,449,754,24,4,4
19,HUILA,19067,SALADOBLANCO,100%,5776,1377,89,24,6
09,CALDAS,09109,SALAMINA,100%,5713,2327,174,153,31
13,CORDOBA,13037,SAHAGUN,100%,21907,30173,471,295,47
21,MAGDALENA,21067,SALAMINA,100%,2304,2765,48,16,6
25,NORTE DE SAN,25073,SALAZAR,100%,5397,596,68,21,10
29,TOLIMA,29105,SALDAÑA,100%,5197,2931,108,73,15
26,QUINDIO,26090,SALENTO,100%,2662,1243,65,48,4
01,ANTIOQUIA,01220,SALGAR,100%,6243,724,76,43,22
07,BOYACA,07235,SAMACA,100%,7955,3497,177,129,12
23,NARIÑO,23115,SAMANIEGO,100%,2226,14289,206,151,25
09,CALDAS,09115,SAMANA,100%,7278,2155,160,143,34
28,SUCRE,28160,SAMPUES,100%,8031,15913,203,145,45
19,HUILA,19070,SAN AGUSTIN,100%,11191,6483,266,122,46
12,CESAR,12800,SAN ALBERTO,100%,6418,5937,135,132,15
01,ANTIOQUIA,01223,SAN ANDRES,100%,1828,677,97,45,17
